12-01-2023 12:01:17 INFO     [main.py:13] Admin logged in
12-03-2023 12:03:42 DEBUG    [player.py:5] Player Test_Player_Login created
12-03-2023 12:03:45 DEBUG    [player.py:5] Player Test_Player_signup created
12-04-2023 12:04:01 DEBUG    [hangman.py:40] Test_Player_Login scored 8
12-04-2023 12:04:01 DEBUG    [hangman.py:105] <Player Test_Player_Login Scores:[] Wins:0 />
12-04-2023 12:04:01 DEBUG    [basegame.py:14] Player changing
12-04-2023 12:04:01 DEBUG    [basegame.py:17] New Player: <Player Test_Player_signup Scores:[] Wins:0 />
12-04-2023 12:04:13 DEBUG    [hangman.py:50] Test_Player_signup scored 5
12-04-2023 12:04:13 DEBUG    [hangman.py:105] <Player Test_Player_signup Scores:[] Wins:0 />
12-04-2023 12:04:13 DEBUG    [basegame.py:14] Player changing
12-04-2023 12:04:13 DEBUG    [basegame.py:17] New Player: <Player Test_Player_Login Scores:[8] Wins:0 />
12-04-2023 12:04:13 DEBUG    [hangman.py:109] Test_Player_Login scored 8 and Test_Player_signup scored 5
12-01-2023 13:01:40 DEBUG    [player.py:5] Player Test_Player_Login created
12-01-2023 13:01:44 DEBUG    [player.py:5] Player Test_Player_signup created
12-04-2023 15:04:54 INFO     [admin.py:13] Admin logged in
12-05-2023 15:05:17 DEBUG    [player.py:5] Player Test_Player_Login created
12-05-2023 15:05:21 DEBUG    [player.py:5] Player Test_Player_signup created
12-05-2023 15:05:43 DEBUG    [hangman.py:40] Test_Player_Login scored 7
12-05-2023 15:05:43 DEBUG    [hangman.py:105] <Player Test_Player_Login Scores:[] Wins:0 />
12-05-2023 15:05:43 DEBUG    [basegame.py:14] Player changing
12-05-2023 15:05:43 DEBUG    [basegame.py:17] New Player: <Player Test_Player_signup Scores:[] Wins:0 />
12-05-2023 15:05:51 DEBUG    [hangman.py:50] Test_Player_signup scored 8
12-05-2023 15:05:51 DEBUG    [hangman.py:105] <Player Test_Player_signup Scores:[] Wins:0 />
12-05-2023 15:05:51 DEBUG    [basegame.py:14] Player changing
12-05-2023 15:05:51 DEBUG    [basegame.py:17] New Player: <Player Test_Player_Login Scores:[7] Wins:0 />
12-05-2023 15:05:51 DEBUG    [hangman.py:109] Test_Player_Login scored 7 and Test_Player_signup scored 8
12-43-2023 17:43:00 DEBUG    [player.py:5] Player Test_Player_Login created
12-43-2023 17:43:03 DEBUG    [player.py:5] Player Test_Player_signup created
12-43-2023 17:43:17 DEBUG    [hangman.py:40] Test_Player_Login scored 8
12-43-2023 17:43:17 DEBUG    [hangman.py:105] <Player Test_Player_Login Scores:[] Wins:0 />
12-43-2023 17:43:17 DEBUG    [basegame.py:14] Player changing
12-43-2023 17:43:17 DEBUG    [basegame.py:17] New Player: <Player Test_Player_signup Scores:[] Wins:0 />
12-43-2023 17:43:38 DEBUG    [hangman.py:50] Test_Player_signup scored 0
12-43-2023 17:43:38 DEBUG    [hangman.py:105] <Player Test_Player_signup Scores:[] Wins:0 />
12-43-2023 17:43:38 DEBUG    [basegame.py:14] Player changing
12-43-2023 17:43:38 DEBUG    [basegame.py:17] New Player: <Player Test_Player_Login Scores:[8] Wins:0 />
12-43-2023 17:43:38 DEBUG    [hangman.py:109] Test_Player_Login scored 8 and Test_Player_signup scored 0
12-44-2023 17:44:11 INFO     [admin.py:13] Admin logged in
12-12-2023 18:12:52 DEBUG    [player.py:5] Player Test_Player_Login created
12-12-2023 18:12:53 DEBUG    [player.py:5] Player Test_Player_signup created
12-13-2023 18:13:25 DEBUG    [player.py:5] Player Test_Player_Login created
12-13-2023 18:13:27 DEBUG    [player.py:5] Player Test_Player_signup created
12-16-2023 18:16:48 DEBUG    [player.py:5] Player Test_Player_Login created
12-16-2023 18:16:52 DEBUG    [player.py:5] Player Test_Player_signup created
13-38-2023 11:38:27 DEBUG    [player.py:5] Player Test_Player_Login created
13-38-2023 11:38:30 DEBUG    [player.py:5] Player Test_Player_signup created
13-41-2023 11:41:39 DEBUG    [player.py:5] Player Test_Player_Login created
13-41-2023 11:41:40 DEBUG    [player.py:5] Player Test_Player_signup created
13-42-2023 11:42:27 DEBUG    [hangman.py:41] Test_Player_Login scored 2
13-42-2023 11:42:27 DEBUG    [hangman.py:107] <Player Test_Player_Login Scores:[] Wins:0 />
13-42-2023 11:42:27 DEBUG    [basegame.py:14] Player changing
13-42-2023 11:42:27 DEBUG    [basegame.py:17] New Player: <Player Test_Player_signup Scores:[] Wins:0 />
13-43-2023 11:43:05 DEBUG    [hangman.py:51] Test_Player_signup scored 6
13-43-2023 11:43:05 DEBUG    [hangman.py:107] <Player Test_Player_signup Scores:[] Wins:0 />
13-43-2023 11:43:05 DEBUG    [basegame.py:14] Player changing
13-43-2023 11:43:05 DEBUG    [basegame.py:17] New Player: <Player Test_Player_Login Scores:[2] Wins:0 />
13-43-2023 11:43:05 DEBUG    [hangman.py:111] Test_Player_Login scored 2 and Test_Player_signup scored 6
13-47-2023 13:47:58 DEBUG    [player.py:5] Player Test_Player_Login created
13-46-2023 14:46:39 DEBUG    [player.py:18] Player ABC created
13-46-2023 14:46:39 INFO     [admin.py:15] Admin logged in
13-46-2023 14:46:45 DEBUG    [player.py:18] Player DEF created
13-46-2023 14:46:53 INFO     [words.py:9] Word Section accessed
13-47-2023 14:47:24 DEBUG    [hangman.py:43] DEF scored 6
13-47-2023 14:47:24 DEBUG    [hangman.py:97] <Player DEF Scores:[] Wins:0 />
13-47-2023 14:47:24 DEBUG    [hangman.py:101] DEF scored 6
13-48-2023 14:48:55 DEBUG    [player.py:18] Player DEF created
13-49-2023 14:49:03 INFO     [words.py:9] Word Section accessed
13-50-2023 14:50:24 DEBUG    [hangman.py:43] DEF scored 5
13-50-2023 14:50:24 DEBUG    [hangman.py:97] <Player DEF Scores:[] Wins:0 />
13-50-2023 14:50:24 DEBUG    [hangman.py:101] DEF scored 5
13-12-2023 15:12:08 DEBUG    [player.py:18] Player ABC created
13-12-2023 15:12:08 INFO     [admin.py:15] Admin logged in
13-12-2023 15:12:13 DEBUG    [player.py:18] Player DEF created
13-12-2023 15:12:19 INFO     [words.py:9] Word Section accessed
13-12-2023 15:12:49 DEBUG    [hangman.py:43] DEF scored 7
13-12-2023 15:12:49 DEBUG    [hangman.py:97] <Player DEF Scores:[] Wins:0 />
13-12-2023 15:12:49 DEBUG    [hangman.py:101] DEF scored 7
13-12-2023 15:12:53 INFO     [words.py:9] Word Section accessed
13-14-2023 15:14:15 DEBUG    [hangman.py:43] DEF scored 0
13-14-2023 15:14:15 DEBUG    [hangman.py:97] <Player DEF Scores:[7] Wins:0 />
